id,attribute_name,holland_code_id
109,"collecting info/things
",6
110,"concrete tasks
",6
111,"keeping records
",6
112,"keeping a detailed planner
",6
113,"cleaning
",6
114,"behind the scene works
",6
115,"lists
",6
116,"organizing challenges
",6
117,"organized
",6
118,"detail-oriented
",6
119,"systematic
",6
120,"punctual
",6
121,"efficient
",6
122,"precise
",6
123,"following directions
",6
124,"note taking
",6
125,"managing information
",6
126,creating processes,6
127,"watching sports
",5
128,"debating
",5
129,"starting something new
",5
130,"politics
",5
131,"managing people or projects
",5
132,"making one
",5
133,"leadership challenges
",5
134,"real estate
",5
135,"persuasive
",5
136,"assertive
",5
137,"competitive
",5
138,"optimistic
",5
139,"confident
",5
140,"risk-taker
",5
141,"public speaking
",5
142,"negotiating
",5
143,"making decisions
",5
144,persuading,5
145,"volunteering
",4
146,"joining clubs
",4
147,"conversation
",4
148,"people challenges
",4
149,"being on a team
",4
150,"reality TV
",4
151,"education
",4
152,"healthcare
",4
153,"compassionate
",4
154,"outgoing
",4
155,"cooperative
",4
156,"considerate
",4
157,"perceptive
",4
158,"intuitive
",4
159,"teaching/training
",4
160,"listening
",4
161,"mentoring/encouraging
",4
162,developing relationships,4
163,"attending music/dance/drama performances
",3
164,"writing/composing
",3
165,"other cultures
",3
166,"decorating
",3
167,"unstructured activities
",3
168,"cooking
",3
169,"literature
",3
170,"creative challenges
",3
171,"creative
",3
172,"idealistic
",3
173,"imaginative
",3
174,"expressive
",3
175,"unconventional
",3
176,"impulsive
",3
177,"writing/singing/acting/creating
",3
178,"improvisation
",3
179,"working under pressure
",3
180,generating new ideas,3
181,"observing
",2
182,"researching
",2
183,"strategy games
",2
184,"solving problems
",2
185,"reading sci-fi and mysteries
",2
186,"analyzing
",2
187,"intellectual challenges
",2
188,"science
",2
189,"curious
",2
190,"rational
",2
191,"scholarly
",2
192,"reflective
",2
193,"independent
",2
194,"thorough
",2
195,"evaluating information
",2
196,"hypothesizing
",2
197,"drawing conclusions
",2
198,using research instruments,2
199,"hands-on tasks
",1
200,"tangible results
",1
201,"tools & machines
",1
202,"outdoors
",1
203,"sports
",1
204,"engineering
",1
205,"plants & animals
",1
206,"physical challenges
",1
207,"practical
",1
208,"action-oriented
",1
209,"logical
",1
210,"persistent
",1
211,"calculated
",1
212,"reserved
",1
213,"physical coordination
",1
214,"mechanical/electrical skills
",1
215,"fixing things
",1
216,building things,1
